com.google.javascript.jscomp.CodeGenerator:920	1.0 987.0 0.031814238148788886
com.google.javascript.jscomp.CodeGenerator:929	1.0 1017.0 0.031341957040361135
com.google.javascript.jscomp.CodeGenerator:930	1.0 1017.0 0.031341957040361135
com.google.javascript.jscomp.CodeGenerator:931	1.0 1017.0 0.031341957040361135
com.google.javascript.jscomp.SyntacticScopeCreator:243	1.0 1059.0 0.03071475584169756
com.google.javascript.jscomp.NodeTraversal:642	1.0 1065.0 0.03062819459158444
com.google.javascript.jscomp.NodeTraversal:618	1.0 1068.0 0.0305851875103308
com.google.javascript.jscomp.NodeTraversal:630	1.0 1068.0 0.0305851875103308
com.google.javascript.jscomp.NodeTraversal:631	1.0 1068.0 0.0305851875103308
com.google.javascript.jscomp.NodeUtil:1764	1.0 1071.0 0.030542361089076306
com.google.javascript.jscomp.CompilerOptions:1389	1.0 1079.0 0.03042903097250923
com.google.javascript.jscomp.SyntacticScopeCreator:79	1.0 1095.0 0.03020610466650885
com.google.javascript.jscomp.SyntacticScopeCreator:80	1.0 1095.0 0.03020610466650885
com.google.javascript.jscomp.SyntacticScopeCreator:81	1.0 1095.0 0.03020610466650885
com.google.javascript.jscomp.SyntacticScopeCreator:125	1.0 1095.0 0.03020610466650885
com.google.javascript.jscomp.GoogleCodingConvention:39	1.0 1122.0 0.02984077663422269
com.google.javascript.rhino.Node:2215	1.0 1129.0 0.029748205865436483
com.google.javascript.jscomp.NodeUtil:1745	1.0 1153.0 0.029437240470473185
com.google.javascript.jscomp.CodeGenerator:212	1.0 1176.0 0.02914820186645445
com.google.javascript.jscomp.Compiler:1822	1.0 1177.0 0.02913582733740325
com.google.javascript.jscomp.CompilerOptions:1494	1.0 1177.0 0.02913582733740325
com.google.javascript.jscomp.parsing.IRFactory:756	1.0 1182.0 0.029074190231479016
com.google.javascript.jscomp.parsing.TypeSafeDispatcher:232	1.0 1182.0 0.029074190231479016
com.google.javascript.rhino.Node:2371	1.0 1183.0 0.02906190968595482
