org.apache.commons.math3.util.FastMathLiteralArrays:6158	1.0 3.0 0.5
org.apache.commons.math3.util.FastMathLiteralArrays:6166	1.0 3.0 0.5
org.apache.commons.math3.util.FastMathLiteralArrays:6174	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:93	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:103	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:109	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:115	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:126	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:134	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:160	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:161	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:162	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:163	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:301	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:302	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:303	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:305	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:306	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:307	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:309	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:432	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:435	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:436	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:439	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:440	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:532	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:533	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:534	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:538	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:541	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:542	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:543	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:599	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:600	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:602	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:755	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:756	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:757	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:758	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:764	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:800	1.0 3.0 0.5
org.apache.commons.math3.util.ResizableDoubleArray:801	1.0 3.0 0.5
org.apache.commons.math3.special.Gamma:95	0.0 1.0 0.0
org.apache.commons.math3.special.Gamma:98	0.0 1.0 0.0
org.apache.commons.math3.special.Gamma:99	0.0 1.0 0.0
org.apache.commons.math3.special.Gamma:100	0.0 1.0 0.0
org.apache.commons.math3.special.Gamma:101	0.0 1.0 0.0
org.apache.commons.math3.special.Gamma:105	0.0 1.0 0.0
org.apache.commons.math3.special.Gamma:156	0.0 1.0 0.0
org.apache.commons.math3.special.Gamma:158	0.0 1.0 0.0
