org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:634	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:635	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:637	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:648	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:651	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:652	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:655	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:656	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:657	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:659	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:804	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:805	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:807	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:808	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:817	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:818	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:819	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:821	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:822	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:823	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:824	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:826	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:982	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:983	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:984	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:985	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:988	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:996	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:997	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:998	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:999	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1002	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1010	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1011	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1012	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1013	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1014	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1017	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1026	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1027	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1028	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1029	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1032	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1056	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1057	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1058	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1059	16.0 2.0 0.7126966450997984
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer:1062	16.0 2.0 0.7126966450997984
