org.apache.commons.math.dfp.Dfp:1240	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1241	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1243	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1247	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1248	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1249	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1251	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1256	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1257	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1258	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1259	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1260	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1262	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1263	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1268	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1269	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1270	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1271	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1272	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1273	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1274	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1279	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1280	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1281	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1283	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1284	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1285	1.0 62.0 0.1259881576697424
